animal_ID,exp. ID,date,water start,water end,ad lib start,ad lib end,,,,,,,,,,
AA04,Athena,18/05/2019,18:00,19:00,,,,,,,,,,,,
DO03,Dammy,18/05/2019,18:00,19:00,,,,,,,,,,,,
DO04,Dammy,18/05/2019,18:00,19:00,,,,,,,,,,,,
SC03,Sharbat,18/05/2019,18:00,19:00,,,,,,,,,,,,
SC04,Sharbat,18/05/2019,18:00,19:00,,,,,,,,,,,,
VP03,Viktor,18/05/2019,18:00,19:00,,,,,,,,,,,,
VP04,Viktor,18/05/2019,18:00,19:00,,,,,,,,,,,,
AA05,Athena,18/05/2019,18:00,19:00,,,,,,,,,,,,
AA06,Athena,18/05/2019,18:00,19:00,,,,,,,,,,,,
DO05,Dammy,18/05/2019,18:00,19:00,,,,,,,,,,,,
DO06,Dammy,18/05/2019,18:00,19:00,,,,,,,,,,,,
SC05,Sharbat,18/05/2019,18:00,19:00,,,,,,,,,,,,
SC06,Sharbat,18/05/2019,18:00,19:00,,,,,,,,,,,,
VP05,Viktor,18/05/2019,18:00,19:00,,,,,,,,,,,,
VP06,Viktor,18/05/2019,18:00,19:00,,,,,,,,,,,,
AA07,Athena,18/05/2019,18:00,19:00,,,,,,,,,,,,
AA08,Athena,18/05/2019,18:00,19:00,,,,,,,,,,,,
DO07,Dammy,18/05/2019,18:00,19:00,,,,,,,,,,,,
DO08,Dammy,18/05/2019,18:00,19:00,,,,,,,,,,,,
VP07,Viktor,18/05/2019,18:00,19:00,,,,,,,,,,,,
VP08,Viktor,18/05/2019,18:00,19:00,,,,,,,,,,,,
AA01,Athena,19/05/2019,17:20,18:20,,,,,,,,,,,,
AA02,Athena,19/05/2019,17:20,18:20,,,,,,,,,,,,
DO01,Dammy,19/05/2019,17:20,18:20,,,,,,,,,,,,
DO02,Dammy,19/05/2019,17:20,18:20,,,,,,,,,,,,
SC01,Sharbat,19/05/2019,17:20,18:20,,,,,,,,,,,,
SC02,Sharbat,19/05/2019,17:20,18:20,,,,,,,,,,,,
VP01,Viktor,19/05/2019,17:20,18:20,,,,,,,,,,,,
VP02,Viktor,19/05/2019,17:20,18:20,,,,,,,,,,,,
AA03,Athena,19/05/2019,17:20,18:20,,,,,,,,,,,,
AA04,Athena,19/05/2019,17:20,18:20,,,,,,,,,,,,
DO03,Dammy,19/05/2019,17:20,18:20,,,,,,,,,,,,
DO04,Dammy,19/05/2019,17:20,18:20,,,,,,,,,,,,
SC03,Sharbat,19/05/2019,17:20,18:20,,,,,,,,,,,,
SC04,Sharbat,19/05/2019,17:20,18:20,,,,,,,,,,,,
VP03,Viktor,19/05/2019,17:20,18:20,,,,,,,,,,,,
VP04,Viktor,19/05/2019,17:20,18:20,,,,,,,,,,,,
AA05,Athena,19/05/2019,17:20,18:20,,,,,,,,,,,,
AA06,Athena,19/05/2019,17:20,18:20,,,,,,,,,,,,
DO05,Dammy,19/05/2019,17:20,18:20,,,,,,,,,,,,
DO06,Dammy,19/05/2019,17:20,18:20,,,,,,,,,,,,
SC05,Sharbat,19/05/2019,17:20,18:20,,,,,,,,,,,,
SC06,Sharbat,19/05/2019,17:20,18:20,,,,,,,,,,,,
VP05,Viktor,19/05/2019,17:20,18:20,,,,,,,,,,,,
VP06,Viktor,19/05/2019,17:20,18:20,,,,,,,,,,,,
AA07,Athena,19/05/2019,17:20,18:20,,,,,,,,,,,,
AA08,Athena,19/05/2019,17:20,18:20,,,,,,,,,,,,
DO07,Dammy,19/05/2019,17:20,18:20,,,,,,,,,,,,
DO08,Dammy,19/05/2019,17:20,18:20,,,,,,,,,,,,
VP07,Viktor,19/05/2019,17:20,18:20,,,,,,,,,,,,
VP08,Viktor,19/05/2019,17:20,18:20,,,,,,,,,,,,
AA01,Athena,20/05/2019,13:38,14:38,,,,,,,,,,,,
AA02,Athena,20/05/2019,13:38,14:38,,,,,,,,,,,,
DO01,Dammy,20/05/2019,13:38,14:38,,,,,,,,,,,,
DO02,Dammy,20/05/2019,13:38,14:38,,,,,,,,,,,,
SC01,Sharbat,20/05/2019,13:38,14:38,,,,,,,,,,,,
SC02,Sharbat,20/05/2019,13:38,14:38,,,,,,,,,,,,
VP01,Viktor,20/05/2019,13:38,14:38,,,,,,,,,,,,
VP02,Viktor,20/05/2019,13:38,14:38,,,,,,,,,,,,
AA03,Athena,20/05/2019,13:38,14:38,,,,,,,,,,,,
AA04,Athena,20/05/2019,13:38,14:38,,,,,,,,,,,,
DO03,Dammy,20/05/2019,13:38,14:38,,,,,,,,,,,,
DO04,Dammy,20/05/2019,13:38,14:38,,,,,,,,,,,,
SC03,Sharbat,20/05/2019,16:30,17:30,,,,,,,,,,,,
SC04,Sharbat,20/05/2019,16:30,17:30,,,,,,,,,,,,
VP03,Viktor,20/05/2019,16:30,17:30,,,,,,,,,,,,
VP04,Viktor,20/05/2019,16:30,17:30,,,,,,,,,,,,
AA05,Athena,20/05/2019,16:30,17:30,,,,,,,,,,,,
AA06,Athena,20/05/2019,16:30,17:30,,,,,,,,,,,,
DO05,Dammy,20/05/2019,16:30,17:30,,,,,,,,,,,,
DO06,Dammy,20/05/2019,16:30,17:30,,,,,,,,,,,,
SC05,Sharbat,20/05/2019,16:30,17:30,,,,,,,,,,,,
SC06,Sharbat,20/05/2019,16:30,17:30,,,,,,,,,,,,
VP05,Viktor,20/05/2019,16:30,17:30,,,,,,,,,,,,
